graph,order,size,time,iterations,error,technique,blocks,threads
"min-1DeadEnd","5","6","1.817","0","0","pagerankNvgraph","0","0"
"min-1DeadEnd","5","6","3.725","17","1.3411e-7","pagerankCuda","1024","32"
"min-1DeadEnd","5","6","3.686","17","1.3411e-7","pagerankCuda","1024","64"
"min-1DeadEnd","5","6","3.681","17","1.3411e-7","pagerankCuda","1024","128"
"min-1DeadEnd","5","6","3.686","17","1.3411e-7","pagerankCuda","1024","256"
"min-1DeadEnd","5","6","3.687","17","1.3411e-7","pagerankCuda","1024","512"
"min-1DeadEnd","5","6","3.682","17","1.3411e-7","pagerankCuda","1024","1024"
"min-1DeadEnd","5","6","3.677","17","1.3411e-7","pagerankCuda","2048","32"
"min-1DeadEnd","5","6","3.678","17","1.3411e-7","pagerankCuda","2048","64"
"min-1DeadEnd","5","6","3.68","17","1.3411e-7","pagerankCuda","2048","128"
"min-1DeadEnd","5","6","3.68","17","1.3411e-7","pagerankCuda","2048","256"
"min-1DeadEnd","5","6","3.681","17","1.3411e-7","pagerankCuda","2048","512"
"min-1DeadEnd","5","6","3.684","17","1.3411e-7","pagerankCuda","2048","1024"
"min-1DeadEnd","5","6","3.677","17","1.3411e-7","pagerankCuda","4096","32"
"min-1DeadEnd","5","6","3.681","17","1.3411e-7","pagerankCuda","4096","64"
"min-1DeadEnd","5","6","3.669","17","1.3411e-7","pagerankCuda","4096","128"
"min-1DeadEnd","5","6","3.679","17","1.3411e-7","pagerankCuda","4096","256"
"min-1DeadEnd","5","6","3.685","17","1.3411e-7","pagerankCuda","4096","512"
"min-1DeadEnd","5","6","3.676","17","1.3411e-7","pagerankCuda","4096","1024"
"min-1DeadEnd","5","6","3.683","17","1.3411e-7","pagerankCuda","8192","32"
"min-1DeadEnd","5","6","3.682","17","1.3411e-7","pagerankCuda","8192","64"
"min-1DeadEnd","5","6","3.676","17","1.3411e-7","pagerankCuda","8192","128"
"min-1DeadEnd","5","6","3.683","17","1.3411e-7","pagerankCuda","8192","256"
"min-1DeadEnd","5","6","3.681","17","1.3411e-7","pagerankCuda","8192","512"
"min-1DeadEnd","5","6","3.688","17","1.3411e-7","pagerankCuda","8192","1024"
"min-1DeadEnd","5","6","3.68","17","1.3411e-7","pagerankCuda","16384","32"
"min-1DeadEnd","5","6","3.675","17","1.3411e-7","pagerankCuda","16384","64"
"min-1DeadEnd","5","6","3.682","17","1.3411e-7","pagerankCuda","16384","128"
"min-1DeadEnd","5","6","3.682","17","1.3411e-7","pagerankCuda","16384","256"
"min-1DeadEnd","5","6","3.68","17","1.3411e-7","pagerankCuda","16384","512"
"min-1DeadEnd","5","6","3.691","17","1.3411e-7","pagerankCuda","16384","1024"
"min-1DeadEnd","5","6","3.684","17","1.3411e-7","pagerankCuda","32768","32"
"min-1DeadEnd","5","6","3.685","17","1.3411e-7","pagerankCuda","32768","64"
"min-1DeadEnd","5","6","3.686","17","1.3411e-7","pagerankCuda","32768","128"
"min-1DeadEnd","5","6","3.689","17","1.3411e-7","pagerankCuda","32768","256"
"min-1DeadEnd","5","6","3.684","17","1.3411e-7","pagerankCuda","32768","512"
"min-1DeadEnd","5","6","3.685","17","1.3411e-7","pagerankCuda","32768","1024"
"min-2SCC","8","12","3.974","0","0","pagerankNvgraph","0","0"
"min-2SCC","8","12","8.608","40","9.127e-7","pagerankCuda","1024","32"
"min-2SCC","8","12","8.577","40","9.127e-7","pagerankCuda","1024","64"
"min-2SCC","8","12","8.545","40","9.127e-7","pagerankCuda","1024","128"
"min-2SCC","8","12","8.574","40","9.127e-7","pagerankCuda","1024","256"
"min-2SCC","8","12","8.577","40","9.127e-7","pagerankCuda","1024","512"
"min-2SCC","8","12","8.565","40","9.127e-7","pagerankCuda","1024","1024"
"min-2SCC","8","12","8.564","40","9.127e-7","pagerankCuda","2048","32"
"min-2SCC","8","12","8.552","40","9.127e-7","pagerankCuda","2048","64"
"min-2SCC","8","12","8.568","40","9.127e-7","pagerankCuda","2048","128"
"min-2SCC","8","12","8.588","40","9.127e-7","pagerankCuda","2048","256"
"min-2SCC","8","12","8.571","40","9.127e-7","pagerankCuda","2048","512"
"min-2SCC","8","12","8.556","40","9.127e-7","pagerankCuda","2048","1024"
"min-2SCC","8","12","8.582","40","9.127e-7","pagerankCuda","4096","32"
"min-2SCC","8","12","8.552","40","9.127e-7","pagerankCuda","4096","64"
"min-2SCC","8","12","8.549","40","9.127e-7","pagerankCuda","4096","128"
"min-2SCC","8","12","8.557","40","9.127e-7","pagerankCuda","4096","256"
"min-2SCC","8","12","8.549","40","9.127e-7","pagerankCuda","4096","512"
"min-2SCC","8","12","8.571","40","9.127e-7","pagerankCuda","4096","1024"
"min-2SCC","8","12","8.556","40","9.127e-7","pagerankCuda","8192","32"
"min-2SCC","8","12","8.581","40","9.127e-7","pagerankCuda","8192","64"
"min-2SCC","8","12","8.575","40","9.127e-7","pagerankCuda","8192","128"
"min-2SCC","8","12","8.568","40","9.127e-7","pagerankCuda","8192","256"
"min-2SCC","8","12","8.567","40","9.127e-7","pagerankCuda","8192","512"
"min-2SCC","8","12","8.584","40","9.127e-7","pagerankCuda","8192","1024"
"min-2SCC","8","12","8.567","40","9.127e-7","pagerankCuda","16384","32"
"min-2SCC","8","12","8.57","40","9.127e-7","pagerankCuda","16384","64"
"min-2SCC","8","12","8.558","40","9.127e-7","pagerankCuda","16384","128"
"min-2SCC","8","12","8.549","40","9.127e-7","pagerankCuda","16384","256"
"min-2SCC","8","12","8.546","40","9.127e-7","pagerankCuda","16384","512"
"min-2SCC","8","12","8.571","40","9.127e-7","pagerankCuda","16384","1024"
"min-2SCC","8","12","8.537","40","9.127e-7","pagerankCuda","32768","32"
"min-2SCC","8","12","8.578","40","9.127e-7","pagerankCuda","32768","64"
"min-2SCC","8","12","8.562","40","9.127e-7","pagerankCuda","32768","128"
"min-2SCC","8","12","8.563","40","9.127e-7","pagerankCuda","32768","256"
"min-2SCC","8","12","8.573","40","9.127e-7","pagerankCuda","32768","512"
"min-2SCC","8","12","8.539","40","9.127e-7","pagerankCuda","32768","1024"
"min-4SCC","21","35","4.109","0","0","pagerankNvgraph","0","0"
"min-4SCC","21","35","9.651","45","6.1188e-7","pagerankCuda","1024","32"
"min-4SCC","21","35","9.63","45","6.1188e-7","pagerankCuda","1024","64"
"min-4SCC","21","35","9.627","45","6.1188e-7","pagerankCuda","1024","128"
"min-4SCC","21","35","9.599","45","6.1188e-7","pagerankCuda","1024","256"
"min-4SCC","21","35","9.633","45","6.1188e-7","pagerankCuda","1024","512"
"min-4SCC","21","35","9.615","45","6.1188e-7","pagerankCuda","1024","1024"
"min-4SCC","21","35","9.635","45","6.1188e-7","pagerankCuda","2048","32"
"min-4SCC","21","35","9.614","45","6.1188e-7","pagerankCuda","2048","64"
"min-4SCC","21","35","9.617","45","6.1188e-7","pagerankCuda","2048","128"
"min-4SCC","21","35","9.633","45","6.1188e-7","pagerankCuda","2048","256"
"min-4SCC","21","35","9.642","45","6.1188e-7","pagerankCuda","2048","512"
"min-4SCC","21","35","9.598","45","6.1188e-7","pagerankCuda","2048","1024"
"min-4SCC","21","35","9.629","45","6.1188e-7","pagerankCuda","4096","32"
"min-4SCC","21","35","9.645","45","6.1188e-7","pagerankCuda","4096","64"
"min-4SCC","21","35","9.625","45","6.1188e-7","pagerankCuda","4096","128"
"min-4SCC","21","35","9.637","45","6.1188e-7","pagerankCuda","4096","256"
"min-4SCC","21","35","9.636","45","6.1188e-7","pagerankCuda","4096","512"
"min-4SCC","21","35","9.636","45","6.1188e-7","pagerankCuda","4096","1024"
"min-4SCC","21","35","9.634","45","6.1188e-7","pagerankCuda","8192","32"
"min-4SCC","21","35","9.628","45","6.1188e-7","pagerankCuda","8192","64"
"min-4SCC","21","35","9.603","45","6.1188e-7","pagerankCuda","8192","128"
"min-4SCC","21","35","9.614","45","6.1188e-7","pagerankCuda","8192","256"
"min-4SCC","21","35","9.619","45","6.1188e-7","pagerankCuda","8192","512"
"min-4SCC","21","35","9.61","45","6.1188e-7","pagerankCuda","8192","1024"
"min-4SCC","21","35","9.631","45","6.1188e-7","pagerankCuda","16384","32"
"min-4SCC","21","35","9.644","45","6.1188e-7","pagerankCuda","16384","64"
"min-4SCC","21","35","9.612","45","6.1188e-7","pagerankCuda","16384","128"
"min-4SCC","21","35","9.615","45","6.1188e-7","pagerankCuda","16384","256"
