graph,order,size,time,iterations,error,technique,blocks,threads
"min-1DeadEnd","5","6","1.817","0","0","pagerankNvgraph","0","0"
"min-1DeadEnd","5","6","3.669","17","1.3411e-7","pagerankCuda","4096","128"
"min-2SCC","8","12","3.974","0","0","pagerankNvgraph","0","0"
"min-2SCC","8","12","8.537","40","9.127e-7","pagerankCuda","32768","32"
"min-4SCC","21","35","4.109","0","0","pagerankNvgraph","0","0"
"min-4SCC","21","35","9.598","45","6.1188e-7","pagerankCuda","2048","1024"
"min-NvgraphEx","6","10","2.288","0","0","pagerankNvgraph","0","0"
"min-NvgraphEx","6","10","5.151","24","2.9802e-8","pagerankCuda","4096","32"
"web-Stanford","281903","2312497","11.069","0","0","pagerankNvgraph","0","0"
"web-Stanford","281903","2312497","45.39","63","7.1483e-7","pagerankCuda","4096","64"
"web-BerkStan","685230","7600595","16.575","0","0","pagerankNvgraph","0","0"
"web-BerkStan","685230","7600595","80.683","64","9.6263e-7","pagerankCuda","32768","64"
"web-Google","916428","5105039","20.169","0","0","pagerankNvgraph","0","0"
"web-Google","916428","5105039","69.715","62","0.0000013662","pagerankCuda","16384","32"
"web-NotreDame","325729","1497134","9.329","0","0","pagerankNvgraph","0","0"
"web-NotreDame","325729","1497134","34.769","58","0.0000025986","pagerankCuda","16384","64"
"soc-Slashdot0811","77360","905468","6.735","0","0","pagerankNvgraph","0","0"
"soc-Slashdot0811","77360","905468","13.012","55","0.00014046","pagerankCuda","16384","32"
"soc-Slashdot0902","82168","948464","6.879","0","0","pagerankNvgraph","0","0"
"soc-Slashdot0902","82168","948464","13.363","55","0.025631","pagerankCuda","16384","32"
"soc-Epinions1","75888","508837","6.905","0","0","pagerankNvgraph","0","0"
"soc-Epinions1","75888","508837","12.386","55","0.04901","pagerankCuda","16384","32"
"coAuthorsDBLP","299067","1955352","7.58","0","0","pagerankNvgraph","0","0"
"coAuthorsDBLP","299067","1955352","24","45","0.0000029306","pagerankCuda","16384","32"
"coAuthorsCiteseer","227320","1628268","6.923","0","0","pagerankNvgraph","0","0"
"coAuthorsCiteseer","227320","1628268","22.217","48","0.0000021884","pagerankCuda","32768","32"
"soc-LiveJournal1","4847571","68993773","168.629","0","0","pagerankNvgraph","0","0"
"soc-LiveJournal1","4847571","68993773","363.617","51","0.0000032066","pagerankCuda","32768","64"
"coPapersCiteseer","434102","32073440","26.715","0","0","pagerankNvgraph","0","0"
"coPapersCiteseer","434102","32073440","46.356","51","0.0000018927","pagerankCuda","32768","64"
"coPapersDBLP","540486","30491458","25.331","0","0","pagerankNvgraph","0","0"
"coPapersDBLP","540486","30491458","49.602","49","0.0000014526","pagerankCuda","32768","64"
"indochina-2004","7414866","194109311","195.352","0","0","pagerankNvgraph","0","0"
"indochina-2004","7414866","194109311","621.753","60","0.0000017256","pagerankCuda","32768","64"
"italy_osm","6686493","14027956","61.864","0","0","pagerankNvgraph","0","0"
"italy_osm","6686493","14027956","480.753","63","6.4566e-7","pagerankCuda","32768","32"
"great-britain_osm","7733822","16313034","76.912","0","0","pagerankNvgraph","0","0"
"great-britain_osm","7733822","16313034","597.49","67","1.6192e-7","pagerankCuda","16384","32"
"germany_osm","11548845","24738362","114.457","0","0","pagerankNvgraph","0","0"
"germany_osm","11548845","24738362","867.478","65","2.0171e-7","pagerankCuda","32768","32"
"asia_osm","11950757","25423206","108.556","0","0","pagerankNvgraph","0","0"
"asia_osm","11950757","25423206","874.291","63","6.7836e-7","pagerankCuda","16384","32"
